mknod,68.29%,68.29%,68.29%,68.29%,68.29%,68.29%,68.29%,68.29%,68.29%,68.29%,68.29%,68.29%,68.29%,75.61%,68.29%,68.29%,68.29%,68.29%,68.29%,68.29%,68.29%,68.29%,65.85%,68.29%,68.29%,65.85%,68.29%,68.29%,68.29%,68.29%,75.61%,68.29%
mktemp,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,94.95%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,64.65%,94.95%,64.65%
nice,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,96.61%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,83.05%,96.61%,83.05%
nl,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,54.50%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,65.88%,54.50%,65.88%
nohup,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%,77.63%
od,57.52%,58.23%,58.51%,59.77%,58.51%,58.79%,57.52%,58.23%,57.52%,57.52%,58.23%,54.15%,58.51%,45.57%,58.23%,57.52%,57.52%,58.51%,58.51%,57.52%,57.52%,54.15%,54.85%,58.51%,58.93%,55.56%,54.15%,58.51%,57.52%,57.52%,45.57%,58.51%
paste,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,74.87%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,79.68%,74.87%,79.68%
pathchk,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,68.18%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,56.82%,68.18%,56.82%
pinky,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%,60.68%
pr,38.41%,38.41%,38.41%,38.41%,38.41%,38.41%,38.41%,38.41%,38.41%,38.41%,38.41%,38.41%,38.41%,43.05%,38.41%,38.41%,38.41%,38.41%,38.41%,38.41%,38.41%,38.41%,40.62%,38.41%,38.41%,40.62%,38.41%,38.41%,38.41%,38.41%,42.94%,38.41%
printenv,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,91.43%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
printf,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,28.79%,33.07%,33.07%,33.07%,33.07%,57.98%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,33.07%,59.14%,33.07%
pwd,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%,20.34%
readlink,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,76.00%,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,92.00%,64.00%,92.00%,60.00%,48.00%,92.00%,44.00%,54.00%,76.00%,92.00%
runcon,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,68.93%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,65.05%,68.93%,65.05%
seq,44.20%,44.20%,44.20%,44.20%,44.20%,44.20%,44.20%,44.20%,44.20%,44.20%,44.20%,44.20%,44.20%,51.93%,44.20%,44.20%,44.20%,44.20%,44.20%,44.20%,44.20%,44.20%,60.77%,44.20%,44.20%,60.77%,44.20%,44.20%,44.20%,44.20%,51.93%,44.20%
